Date,Close,Var. (%),Open,Low,High,Volume,Negócios,Support,Resistance,Hammer,,,,William %R,Low 14,High 14,9MME,20MA,12MME,26MME,MACD Line,Counter MACD,Signal Line,Histograma,,,,,,,,Posição 9MME,Posição MACD,9E/20MA,,,,,,,
2020-04-09,16.82,-2.89%,17.94,16.5,18.69,"184,87M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,17.32,5.61%,16.5,16.4,17.53,"114,58M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,16.4,3.99%,16.61,16.34,17.07,"139,72M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,15.77,2.80%,16.05,15.18,16.1,"122,54M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,15.34,-1.10%,16.3,14.93,16.36,"142,01M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,15.51,8.46%,15.4,15.01,16.55,"233,81M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,14.3,2.22%,13.45,13.32,14.55,"113,48M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,13.99,4.56%,13.6,13.6,14.54,"155,31M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,13.38,0.60%,13.15,12.83,13.74,"110,53M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,13.3,-7.57%,13.3,13.25,13.69,"100,33M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,14.39,0.49%,14.4,13.81,15.19,"129,59M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,14.32,8.08%,13.24,12.83,14.79,"157,33M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,13.25,15.22%,12.57,12.28,13.54,"113,40M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,11.5,-4.17%,12.11,11.28,12.18,"106,11M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,12,-1.72%,13.11,11.83,13.5,"148,24M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,12.21,8.15%,11.07,10.85,13.07,"155,41M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
